"","X","Time_Local","Date","home_team","betonline_home","away_team","betonline_away","gameNumber","BetTimeStamp"
"1",1,"01:05 PM","2023-03-28","BOS",110,"ATL",-130,1,"03-28-2023 10:42 AM"
"2",2,"01:05 PM","2023-03-28","PIT",-115,"MIN",-105,1,"03-28-2023 10:42 AM"
"3",3,"03:00 PM","2023-03-28","COL",105,"MIL",-125,1,"03-28-2023 10:42 AM"
"4",4,"03:40 PM","2023-03-28","ARI",-120,"CLE",100,1,"03-28-2023 10:42 AM"
"5",5,"12:05 PM","2023-03-28","PHI",105,"TOR",-125,1,"03-28-2023 11:18 AM"
"6",6,"12:05 PM","2023-03-28","WAS",113,"NYY",-133,1,"03-28-2023 11:18 AM"
"7",7,"02:05 PM","2023-03-28","TEX",-127,"KC",107,1,"03-28-2023 12:36 PM"
"8",8,"03:05 PM","2023-03-28","CHC",118,"CHW",-138,1,"03-28-2023 02:34 PM"
