Team,Player,ROS,Playing time %,Role,IP_GS
CHW,Sean Burke,26 IP,GS 4%,Starter,4
CHW,Jimmy Lambert,37 IP,GS 3% RP 3%,"Starter, Long",4
CHW,Jonathan Stiever,14 IP,GS 2%,Starter,4.2
CHW,Kendall Graveman,58 IP,RP 10% SV 50%,Closer,0
CHW,Reynaldo Lopez,58 IP,RP 10% SV 30%,Setup,0
CHW,Aaron Bummer,52 IP,RP 9% SV 10%,Setup,0
CHW,Liam Hendriks,12 IP,RP 2% SV 10%,Closer,0
CHW,Garrett Crochet,40 IP,RP 7%,Setup,0
CHW,Nick Avila,40 IP,RP 7%,Mop Up,0
CHW,Jose Ruiz,58 IP,RP 10%,Middle,0
CHW,Jake Diekman,52 IP,RP 9%,Middle,0
CHW,Joe Kelly,52 IP,RP 9%,Middle,0
CHW,Matt Foster,29 IP,RP 5%,Middle,0
CHW,Tanner Banks,29 IP,RP 5%,Middle,0
CHW,Frank German,23 IP,RP 4%,Middle,0
CHW,A.J. Alexy,17 IP,RP 3%,Middle,0
CHW,Nicholas Padilla,17 IP,RP 3%,Middle,0
CHW,Gregory Santos,12 IP,RP 2%,Middle,0
CHC,Marcus Stroman,151 IP,GS 17%,Starter 1,5.5
CHC,Jameson Taillon,140 IP,GS 16%,Starter 2,5.4
CHC,Justin Steele,122 IP,GS 15%,Starter 3,5
CHC,Drew Smyly,117 IP,GS 15%,Starter 4,4.8
CHC,Hayden Wesneski,121 IP,GS 14% RP 2%,"Starter 5, Long",4.8
CHC,Kyle Hendricks,103 IP,GS 12%,Starter,5.3
CHC,Adrian Sampson,82 IP,GS 5% RP 7%,"Starter, Long",4.8
CHC,Caleb Kilian,13 IP,GS 2%,Starter,4
CHC,Adbert Alzolay,63 IP,GS 2% RP 8%,"Starter, Middle",4.3
CHC,Javier Assad,58 IP,GS 2% RP 7%,"Starter, Long",4.5
CHC,Brad Boxberger,56 IP,RP 9% SV 40%,Closer,0
CHC,Michael Fulmer,56 IP,RP 9% SV 40%,Closer,0
CHC,Brandon Hughes,62 IP,RP 10% SV 15%,Setup,0
CHC,Rowan Wick,43 IP,RP 7% SV 5%,Setup,0
CHC,Michael Rucker,43 IP,RP 7%,Middle,0
CHC,Julian Merryweather,37 IP,RP 6%,Middle,0
