Team,Batters,ROS,Playing time %
TB,Kyle Manzardo,35 PA,1B 5% 35 PA
TB,Harold Ramirez,490 PA,DH 40% 280 PA 1B 25% 175 PA RF 5% 35 PA
TEX,Jonah Heim,385 PA,C 55% 385 PA
TEX,Mitch Garver,420 PA,C 30% 210 PA DH 30% 210 PA
TEX,Sam Huff,140 PA,C 15% 105 PA DH 5% 35 PA
TEX,Marcus Semien,630 PA,2B 85% 595 PA SS 5% 35 PA
TEX,Corey Seager,595 PA,SS 85% 595 PA
TEX,Leody Taveras,525 PA,CF 75% 525 PA
TEX,Bubba Thompson,280 PA,CF 15% 105 PA LF 15% 105 PA RF 10% 70 PA
TEX,Robbie Grossman,490 PA,LF 45% 315 PA RF 15% 105 PA DH 10% 70 PA
TEX,Josh H. Smith,315 PA,LF 25% 175 PA SS 10% 70 PA 2B 5% 35 PA 3B 5% 35 PA
TEX,Dustin Harris,105 PA,LF 10% 70 PA DH 5% 35 PA
TEX,Travis Jankowski,70 PA,LF 5% 35 PA RF 5% 35 PA
TEX,Josh Jung,560 PA,3B 80% 560 PA
TEX,Ezequiel Duran,210 PA,3B 15% 105 PA 2B 10% 70 PA CF 5% 35 PA
TEX,Adolis Garcia,595 PA,RF 70% 490 PA DH 10% 70 PA CF 5% 35 PA
TEX,Nate Lowe,630 PA,1B 90% 630 PA
TEX,Brad Miller,350 PA,DH 40% 280 PA 1B 10% 70 PA
TOR,Danny Jansen,385 PA,C 50% 350 PA DH 5% 35 PA
TOR,Alejandro Kirk,490 PA,C 45% 315 PA DH 25% 175 PA
TOR,Santiago Espinal,490 PA,2B 60% 420 PA 3B 5% 35 PA SS 5% 35 PA
TOR,Whit Merrifield,490 PA,2B 20% 140 PA LF 20% 140 PA RF 20% 140 PA CF 5% 35 PA DH 5% 35 PA
TOR,Addison Barger,105 PA,2B 5% 35 PA SS 5% 35 PA 3B 5% 35 PA
TOR,Bo Bichette,595 PA,SS 85% 595 PA
TOR,Kevin Kiermaier,420 PA,CF 60% 420 PA
TOR,Nathan Lukes,105 PA,CF 5% 35 PA LF 5% 35 PA RF 5% 35 PA
TOR,Daulton Varsho,560 PA,LF 50% 350 PA CF 20% 140 PA C 5% 35 PA DH 5% 35 PA
TOR,Otto Lopez,175 PA,LF 10% 70 PA 2B 5% 35 PA SS 5% 35 PA CF 5% 35 PA
TOR,Spencer Horwitz,35 PA,LF 5% 35 PA
TOR,Matt Chapman,595 PA,3B 80% 560 PA DH 5% 35 PA
TOR,Orelvis Martinez,35 PA,3B 5% 35 PA
TOR,George Springer,560 PA,RF 60% 420 PA DH 15% 105 PA CF 5% 35 PA
TOR,Cavan Biggio,315 PA,RF 15% 105 PA 2B 10% 70 PA LF 10% 70 PA 1B 5% 35 PA 3B 5% 35 PA
TOR,Vladimir Guerrero Jr.,595 PA,1B 65% 455 PA DH 20% 140 PA
TOR,Brandon Belt,350 PA,1B 30% 210 PA DH 20% 140 PA
WAS,Keibert Ruiz,385 PA,C 50% 350 PA DH 5% 35 PA
WAS,Riley Adams,245 PA,C 35% 245 PA
WAS,Israel Pineda,105 PA,C 15% 105 PA
WAS,Luis Garcia,560 PA,2B 75% 525 PA SS 5% 35 PA
WAS,Ildemaro Vargas,140 PA,2B 10% 70 PA 3B 5% 35 PA SS 5% 35 PA
WAS,Jeter Downs,70 PA,2B 5% 35 PA SS 5% 35 PA
WAS,Lucius Fox,35 PA,2B 5% 35 PA
WAS,C.J. Abrams,595 PA,SS 80% 560 PA DH 5% 35 PA
WAS,Victor Robles,525 PA,CF 75% 525 PA
WAS,Stone Garrett,280 PA,LF 30% 210 PA RF 10% 70 PA
WAS,Corey Dickerson,280 PA,LF 20% 140 PA RF 10% 70 PA DH 10% 70 PA
WAS,Jeimer Candelario,525 PA,3B 65% 455 PA DH 10% 70 PA
WAS,Carter Kieboom,280 PA,3B 25% 175 PA DH 10% 70 PA SS 5% 35 PA
WAS,Lane Thomas,560 PA,RF 40% 280 PA CF 20% 140 PA LF 15% 105 PA DH 5% 35 PA
WAS,Alex Call,455 PA,RF 30% 210 PA LF 25% 175 PA CF 5% 35 PA DH 5% 35 PA
WAS,Joey Meneses,595 PA,1B 50% 350 PA DH 20% 140 PA RF 10% 70 PA LF 5% 35 PA
WAS,Dominic Smith,420 PA,1B 45% 315 PA DH 15% 105 PA
WAS,Jake Alu,245 PA,DH 15% 105 PA 1B 5% 35 PA 2B 5% 35 PA 3B 5% 35 PA LF 5% 35 PA
